,sample_n,run_id
0,1,0
1,1,0
2,1,0
3,1,0
4,2,0
0,1,1
1,1,1
2,1,1
3,1,1
4,2,1
0,1,2
1,1,2
2,1,2
3,1,2
4,2,2
0,1,3
1,1,3
2,1,3
3,1,3
4,2,3
0,1,4
1,1,4
2,1,4
3,1,4
4,2,4
0,1,5
1,1,5
2,1,5
3,1,5
4,2,5
0,1,6
1,1,6
2,1,6
3,1,6
4,2,6
0,1,7
1,1,7
2,1,7
3,1,7
4,2,7
0,1,8
1,1,8
2,1,8
3,1,8
4,2,8
0,1,9
1,1,9
2,1,9
3,1,9
4,2,9
0,1,10
1,1,10
2,1,10
3,1,10
4,2,10
0,1,11
1,1,11
2,1,11
3,1,11
4,2,11
0,1,12
1,1,12
2,1,12
3,1,12
4,2,12
0,1,13
1,1,13
2,1,13
3,1,13
4,2,13
0,1,14
1,1,14
2,1,14
3,1,14
4,2,14
0,1,15
1,1,15
2,1,15
3,1,15
4,2,15
0,1,16
1,1,16
2,1,16
3,1,16
4,2,16
0,1,17
1,1,17
2,1,17
3,1,17
4,2,17
0,1,18
1,1,18
2,1,18
3,1,18
4,2,18
0,1,19
1,1,19
2,1,19
3,1,19
4,2,19
0,1,20
1,1,20
2,1,20
3,1,20
4,2,20
0,1,21
1,1,21
2,1,21
3,1,21
4,2,21
0,1,22
1,1,22
2,1,22
3,1,22
4,2,22
0,1,23
1,1,23
2,1,23
3,1,23
4,2,23
0,1,24
1,1,24
2,1,24
3,1,24
4,2,24
0,1,25
1,1,25
2,1,25
3,1,25
4,2,25
0,1,26
1,1,26
2,1,26
3,1,26
4,2,26
0,1,27
1,1,27
2,1,27
3,1,27
4,2,27
0,1,28
1,1,28
2,1,28
3,1,28
4,2,28
0,1,29
1,1,29
2,1,29
3,1,29
4,2,29
0,1,30
1,1,30
2,1,30
3,1,30
4,2,30
0,1,31
1,1,31
2,1,31
3,1,31
4,2,31
0,1,32
1,1,32
2,1,32
3,1,32
4,2,32
0,1,33
1,1,33
2,1,33
3,1,33
4,2,33
0,1,34
1,1,34
2,1,34
3,1,34
4,2,34
0,1,35
1,1,35
2,1,35
3,1,35
4,2,35
0,1,36
1,1,36
2,1,36
3,1,36
4,2,36
0,1,37
1,1,37
2,1,37
3,1,37
4,2,37
0,1,38
1,1,38
2,1,38
3,1,38
4,2,38
0,1,39
1,1,39
2,1,39
3,1,39
4,2,39
0,1,40
1,1,40
2,1,40
3,1,40
4,2,40
0,1,41
1,1,41
2,1,41
3,1,41
4,2,41
0,1,42
1,1,42
2,1,42
3,1,42
4,2,42
0,1,43
1,1,43
2,1,43
3,1,43
4,2,43
0,1,44
1,1,44
2,1,44
3,1,44
4,2,44
0,1,45
1,1,45
2,1,45
3,1,45
4,2,45
0,1,46
1,1,46
2,1,46
3,1,46
4,2,46
0,1,47
1,1,47
2,1,47
3,1,47
4,2,47
0,1,48
1,1,48
2,1,48
3,1,48
4,2,48
0,1,49
1,1,49
2,1,49
3,1,49
4,2,49
